player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Olamide Zaccheaus,44920,WR,WAS,1,44.8,0,32,50.0,,35.0,0,0,0,0.0,0.0,,0,0,0,13,0,0,0,29,0,16,0,0,13,0
Jake Bobo,77997,WR,SEA,1,68.4,0,29,53.3,,54.1,0,0,0,0.0,0.0,,0,0,0,13,0,0,0,19,0,6,0,0,13,0
Jayden Reed,78171,WR,GB,1,36.1,0,12,72.1,,59.2,0,0,0,0.0,0.0,,0,0,0,13,0,0,0,36,0,22,0,0,13,0
Curtis Samuel,11795,WR,BUF,1,59.1,0,4,59.5,,60.3,0,0,0,0.0,0.0,,0,0,0,13,0,0,0,22,0,8,0,0,13,0
Luke McCaffrey,101634,WR,WAS,1,54.2,0,32,65.6,,60.8,0,0,0,0.0,0.0,,0,0,0,13,0,0,0,24,0,11,0,0,13,0
Davis Allen,99697,TE,LA,1,72.2,0,26,58.4,9.8,75.7,1,0,3,37.5,37.5,83.3,0,1,0,13,0,0,0,18,3,8,0,0,10,15
Jaylen Waddle,84088,WR,MIA,1,20.0,0,17,73.4,,76.3,0,0,0,0.0,0.0,,0,0,0,13,0,0,0,65,0,52,0,0,13,0
Julian Hill,88685,TE,MIA,1,54.2,0,17,51.8,64.9,64.5,0,0,1,9.1,8.3,100.0,1,0,0,13,0,0,0,24,1,12,0,0,12,18
Chuba Hubbard,57373,HB,CAR,1,21.8,0,5,47.5,49.3,,0,0,12,28.6,27.9,100.0,0,0,0,12,0,0,0,55,12,43,0,0,0,0
Tylan Wallace,61577,WR,BLT,1,30.0,0,3,59.9,,61.7,0,0,0,0.0,0.0,,0,0,0,12,0,0,0,40,0,28,0,0,12,0
Adam Prentice,35639,FB,NO,1,85.7,0,20,60.8,63.8,60.7,0,0,0,0.0,33.3,,0,0,0,12,0,0,0,14,1,3,0,0,11,1
Justin Herbert,28237,QB,LAC,1,26.1,0,27,72.8,,60.0,0,0,0,0.0,0.0,,0,0,0,12,0,0,0,46,0,29,0,0,12,0
Ben Skowronek,27948,WR,PIT,1,52.2,0,25,72.7,,83.3,0,0,0,0.0,0.0,,0,0,0,12,0,0,0,23,0,11,0,0,12,5
Ja'Marr Chase,84270,WR,CIN,1,20.0,0,7,60.8,,60.3,0,0,0,0.0,0.0,,0,0,0,12,0,0,0,60,0,48,0,0,12,0
Colby Parkinson,52266,TE,LA,1,60.0,0,26,70.7,70.5,64.7,0,0,2,22.2,20.0,100.0,0,0,0,12,0,0,0,20,2,10,0,0,10,17
Jonathan Taylor,57488,HB,IND,1,21.8,0,14,60.1,78.9,57.8,0,0,3,15.8,18.2,100.0,0,0,0,12,0,0,0,55,4,22,0,0,8,0
Taysom Hill,12112,TE,NO,1,28.6,0,20,57.0,,38.8,0,0,0,0.0,0.0,,0,0,0,12,0,0,0,42,0,25,0,0,12,3
Scott Matlock,82482,DI,LAC,1,80.0,0,27,45.2,,42.3,0,0,0,0.0,0.0,,0,0,0,12,0,0,0,15,0,3,0,0,12,6
Nick Westbrook-Ikhine,47861,WR,TEN,1,21.8,0,31,66.8,,58.5,0,0,0,0.0,0.0,,1,0,0,12,0,0,0,55,0,43,0,0,12,0
Calvin Ridley,48262,WR,TEN,1,21.8,0,31,58.4,,54.5,0,0,0,0.0,0.0,,0,0,0,12,0,0,0,55,0,43,0,0,12,0
Nico Collins,61441,WR,HST,1,25.0,0,13,80.9,65.8,61.0,0,0,1,3.1,2.9,100.0,0,0,0,11,0,0,0,44,1,34,0,0,10,0
Isaiah Likely,83955,TE,BLT,1,30.6,0,3,55.6,65.7,52.9,0,0,1,3.8,3.8,100.0,0,0,0,11,0,0,0,36,1,26,0,0,10,15
Adam Thielen,8288,WR,CAR,1,21.6,0,5,72.5,,48.3,0,0,0,0.0,0.0,,0,0,0,11,0,0,0,51,0,40,0,0,11,0
Caleb Williams,144622,QB,CHI,1,16.4,0,6,62.4,,60.0,0,0,0,0.0,0.0,,0,0,0,11,0,0,0,67,0,56,0,0,11,0
Justin Jefferson,61398,WR,MIN,1,21.6,0,18,78.3,,61.0,0,0,0,0.0,0.0,,0,0,0,11,0,0,0,51,0,40,0,0,11,0
Sam Darnold,29048,QB,MIN,1,20.8,0,18,77.6,,60.0,0,0,0,0.0,0.0,,0,0,0,11,0,0,0,53,0,41,0,0,11,0
Robert Woods,7822,WR,HST,1,52.4,0,13,57.3,,75.3,0,0,0,0.0,0.0,,0,0,0,11,0,0,0,21,0,10,0,0,11,0
