Rank,Name,Team,Position,Week,Opponent,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
481,Tre Brown,SEA,CB,11,LAR,0,0,0,0,0,0,0,0,0.07,0.09,0.04,0.02,0,0
481,Charles Harris,DET,DL,11,CHI,0,0,0,0,0,0,0,0,0.23,0.01,0.06,0.03,0,0
481,Arden Key,TEN,OLB,11,JAX,0,0,0,0,0,0,0,0,0.16,0.02,0.04,0.02,0,0
481,Andrew Billings,CHI,DL,11,DET,0,0,0,0,0,0,0,0,0.27,0.01,0.03,0.02,0,0
481,Deane Leonard,LAC,DB,11,GB,0,0,0,0,0,0,0,0,0.09,0.05,0.05,0.02,0,0
481,DJ Turner II,CIN,CB,11,BAL,0,0,0,0,0,0,0,0,0.1,0.02,0.04,0.02,0,0
481,Eric Garror,TEN,DB,11,JAX,0,0,0,0,0,0,0,0,0.08,0.03,0.04,0.02,0,0
481,Arik Armstead,SF,DL,11,TB,0,0,0,0,0,0,0,0,0.24,0.01,0.04,0.02,0,0
481,Chidobe Awuzie,CIN,CB,11,BAL,0,0,0,0,0,0,0,0,0.09,0.04,0.04,0.02,0,0
481,Travon Walker,JAX,OLB,11,TEN,0,0,0,0,0,0,0,0,0.16,0.04,0.05,0.03,0,0
481,BJ Ojulari,ARI,OLB,11,HOU,0,0,0,0,0,0,0,0,0.24,0.01,0.03,0.01,0,0
481,Garrett Williams,ARI,CB,11,HOU,0,0,0,0,0,0,0,0,0.08,0.04,0.05,0.02,0,0
481,Darrell Taylor,SEA,LB,11,LAR,0,0,0,0,0,0,0,0,0.14,0.02,0.04,0.02,0,0
481,Ja'Sir Taylor,LAC,DB,11,GB,0,0,0,0,0,0,0,0,0.07,0.08,0.05,0.03,0,0
481,Starling Thomas V,ARI,CB,11,HOU,0,0,0,0,0,0,0,0,0.07,0.01,0.05,0.02,0,0
481,Rakeem Nuñez-Roches,NYG,DL,11,WAS,0,0,0,0,0,0,0,0,0.24,0.01,0.05,0.02,0,0
481,John Ridgeway III,WAS,DT,11,NYG,0,0,0,0,0,0,0,0,0.24,0.02,0.03,0.01,0,0
481,Christian Benford,BUF,CB,11,NYJ,0,0,0,0,0,0,0,0,0.07,0.04,0.04,0.02,0,0
481,Dante Stills,ARI,DT,11,HOU,0,0,0,0,0,0,0,0,0.24,0.01,0.03,0.01,0,0
481,Roy Robertson-Harris,JAX,DL,11,TEN,0,0,0,0,0,0,0,0,0.23,0.01,0.04,0.02,0,0
481,LaBryan Ray,CAR,DT,11,DAL,0,0,0,0,0,0,0,0,0.23,0.02,0.02,0.01,0,0
481,Odafe Oweh,BAL,OLB,11,CIN,0,0,0,0,0,0,0,0,0.15,0.01,0.04,0.02,0,0
481,Folorunso Fatukasi,JAX,DL,11,TEN,0,0,0,0,0,0,0,0,0.23,0.01,0.03,0.02,0,0
481,Raekwon Davis,MIA,DT,11,LV,0,0,0,0,0,0,0,0,0.24,0.01,0.04,0.02,0,0
481,Nik Bonitto,DEN,OLB,11,MIN,0,0,0,0,0,0,0,0,0.14,0.02,0.04,0.02,0,0
481,Mekhi Blackmon,MIN,CB,11,DEN,0,0,0,0,0,0,0,0,0.07,0.04,0.04,0.02,0,0
481,Armon Watts,PIT,DT,11,CLE,0,0,0,0,0,0,0,0,0.24,0.01,0.03,0.01,0,0
481,Greg Newsome II,CLE,CB,11,PIT,0,0,0,0,0,0,0,0,0.09,0.01,0.04,0.02,0,0
481,Damarri Mathis,DEN,CB,11,MIN,0,0,0,0,0,0,0,0,0.08,0.02,0.04,0.02,0,0
481,Jordan Elliott,CLE,DT,11,PIT,0,0,0,0,0,0,0,0,0.23,0,0.02,0.01,0,0
481,Jerry Tillery,LV,DT,11,MIA,0,0,0,0,0,0,0,0,0.22,0.02,0.03,0.02,0,0
481,Chase Young,SF,DE,11,TB,0,0,0,0,0,0,0,0,0.19,0.01,0.05,0.02,0,0
481,Efe Obada,WAS,DE,11,NYG,0,0,0,0,0,0,0,0,0.2,0.02,0.03,0.01,0,0
481,Cam Sample,CIN,DE,11,BAL,0,0,0,0,0,0,0,0,0.22,0.01,0.02,0.01,0,0
481,Jadeveon Clowney,BAL,OLB,11,CIN,0,0,0,0,0,0,0,0,0.13,0.01,0.04,0.02,0,0
481,Von Miller,BUF,LB,11,NYJ,0,0,0,0,0,0,0,0,0.19,0.01,0.03,0.01,0,0
481,Maurice Hurst II,CLE,DT,11,PIT,0,0,0,0,0,0,0,0,0.21,0.01,0.02,0.01,0,0
481,Khalil Davis,HOU,DT,11,ARI,0,0,0,0,0,0,0,0,0.21,0.01,0.02,0.01,0,0
481,Nick Thurman,CAR,DE,11,DAL,0,0,0,0,0,0,0,0,0.21,0.02,0.02,0.01,0,0
481,Ogbo Okoronkwo,CLE,DE,11,PIT,0,0,0,0,0,0,0,0,0.2,0,0.02,0.01,0,0
