,,,,,Game and Vegas,,,,,,,Proj. Passing Stats,,,,,Proj. Rushing Stats,,,,,Proj. Receiving Stats,,,,,Proj. Defensive Stats,,,,,,Proj. Fantasy Pts,,,Projected Values,,,,,,,,,Position Rankings,,,Overall Rankings,,,Passing Stat Avgs,,,,,,,Rushing Stat Avgs,,,Receiving Stat Avgs,,,,Defense Stat Avgs,,,,,,
Tylan Wallace,!,0,WR,3000,BAL,@ CIN,30,15.75,1,0.4,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,23,0,33,40,40,47,105,105,,,,,,,,,,,1.44,0.67,6.22,,,,,,,,
Devin Duvernay,!,0,WR,3000,BAL,@ CIN,30,15.75,4.8,4.8,8.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,19,0,33,40,40,47,105,105,,,,,,,,0.53,4.74,0.02,2.84,2.09,20.47,0.12,,,,,,,
Rashod Bateman,!,0,WR,3000,BAL,@ CIN,30,15.75,6.3,8.9,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,31,0,33,40,40,47,105,105,,,,,,,,,,,5.28,3.39,44.44,0.17,,,,,,,
Andy Isabella,,0,WR,3000,BAL,@ CIN,30,15.75,5,0.8,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,33,40,40,47,105,105,,,,,,,,0.25,0.42,,2.25,1.38,18.63,0.13,,,,,,,
Mike Thomas,,0,WR,3000,BAL,@ CIN,30,15.75,2.8,1.4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,33,40,40,47,105,105,,,,,,,,0.04,0.04,,1.92,0.92,10.12,0.04,,,,,,,
Shemar Bridges,,0,WR,3000,BAL,@ CIN,30,15.75,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,,0,0,33,40,40,47,105,105,,,,,,,,,,,,,,,,,,,,,
Binjimen Victor,,0,WR,3000,BAL,@ CIN,30,15.75,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,,0,0,33,40,40,47,105,105,,,,,,,,,,,,,,,,,,,,,
Tarik Black,,0,WR,3000,BAL,@ CIN,30,15.75,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,33,40,40,47,105,105,,,,,,,,,,,2,1,10,,,,,,,,
KaVontae Turpin,,0,WR,3000,DAL,@ TB,16,23.75,0.7,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,33,40,40,47,105,105,,,,,,,,0.6,3.4,,0.4,0.2,1.8,,,,,,,,
Jalen Tolbert,,0,WR,3000,DAL,@ TB,16,23.75,0.2,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,33,40,40,47,105,105,,,,,,,,,,,1.5,1,6,,,,,,,,
Simi Fehoko,!,0,WR,3000,DAL,@ TB,16,23.75,0.5,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,33,40,40,47,105,105,,,,,,,,,,,2,1.5,12,,,,,,,,
Dontario Drummond,,0,WR,3000,DAL,@ TB,16,23.75,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,,0,0,33,40,40,47,105,105,,,,,,,,,,,,,,,,,,,,,
Brandon Smith,,0,WR,3000,DAL,@ TB,16,23.75,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,,0,0,33,40,40,47,105,105,,,,,,,,,,,,,,,,,,,,,
Dennis Houston,,0,WR,3000,DAL,@ TB,16,23.75,1.8,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,33,40,40,47,105,105,,,,,,,,,,,3,1,8,,,,,,,,
Antonio Callaway,,0,WR,3000,DAL,@ TB,16,23.75,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,12,0,33,40,40,47,105,105,,,,,,,,0.09,0.3,,4.26,2.3,30.22,0.22,,,,,,,
Donald Parham,,0,TE,2700,LAC,@ JAC,19,24.75,4.2,4.9,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,11,0,13,16,16,49,105,105,,,,,,,,,,,2.11,1.43,17.11,0.25,,,,,,,
Tyler Kroft,,0,TE,2500,SF,vs SEA,26,25.50,5.3,4.4,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,14,16,16,51,105,105,,,,,,,,,,,2.59,1.72,17.72,0.21,,,,,,,
Charlie Woerner,,0,TE,2500,SF,vs SEA,26,25.50,1.9,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,14,16,16,51,105,105,,,,,,,,,,,1.3,0.8,8.8,,,,,,,,
Ross Dwelley,,0,TE,2500,SF,vs SEA,26,25.50,3.9,5,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,20,0,14,16,16,51,105,105,,,,,,,,,,,2.32,1.72,20.24,0.2,,,,,,,
Jordan Matthews,!,0,TE,2500,SF,vs SEA,26,25.50,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,25,0,14,16,16,51,105,105,,,,,,,,,,,6.04,3.89,45.89,0.28,,,,,,,
Chris Manhertz,,0,TE,2500,JAC,vs LAC,4,22.75,2.5,2.4,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,14,16,16,51,105,105,,,,,,,,,,,1.24,0.83,8.79,0.07,,,,,,,
Dan Arnold,,0,TE,2500,JAC,vs LAC,4,22.75,4.7,7.7,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,16,0,14,16,16,51,105,105,,,,,,,,,,,3.06,2.02,26.77,0.15,,,,,,,
Luke Farrell,,0,TE,2500,JAC,vs LAC,4,22.75,0.8,1.6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,53,0,14,16,16,51,105,105,,,,,,,,,,,1.25,0.92,8,,,,,,,,
Garrison Sanborn,,0,TE,2500,JAC,vs LAC,4,22.75,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,,0,0,14,16,16,51,105,105,,,,,,,,,,,,,,,,,,,,,
Gerrit Prince,,0,TE,2500,JAC,vs LAC,4,22.75,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,,0,0,14,16,16,51,105,105,,,,,,,,,,,,,,,,,,,,,
Quintin Morris,,0,TE,2500,BUF,vs MIA,28,28.25,2.9,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,19,0,14,16,16,51,105,105,,,,,,,,,,,1.83,1.33,14,0.17,,,,,,,
Tommy Sweeney,,0,TE,2500,BUF,vs MIA,28,28.25,3.6,2.8,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,14,16,16,51,105,105,,,,,,,,,,,2,1.38,12.69,0.08,,,,,,,
Zach Davidson,,0,TE,2500,BUF,vs MIA,28,28.25,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,,0,0,14,16,16,51,105,105,,,,,,,,,,,,,,,,,,,,,
Johnny Mundt,,0,TE,2500,MIN,vs NYG,15,25.75,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,23,0,14,16,16,51,105,105,,,,,,,,,,,1.55,1.32,10.55,0.05,,,,,,,
Ben Ellefson,!,0,TE,2500,MIN,vs NYG,15,25.75,1.6,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,14,16,16,51,105,105,,,,,,,,,,,1.6,0.8,7.2,,,,,,,,
Andrew DePaola,,0,TE,2500,MIN,vs NYG,15,25.75,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,,0,0,14,16,16,51,105,105,,,,,,,,,,,,,,,,,,,,,
James O'Shaughnessy,,0,TE,2500,MIN,vs NYG,15,25.75,3.4,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,13,0,14,16,16,51,105,105,,,,,,,,,,,2.64,1.78,17.67,0.05,,,,,,,
Nick Muse,,0,TE,2500,MIN,vs NYG,15,25.75,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,,0,0,14,16,16,51,105,105,,,,,,,,,,,,,,,,,,,,,
Mitchell Wilcox,,0,TE,2500,CIN,vs BAL,5,24.75,3.6,1.2,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,14,0,14,16,16,51,105,105,,,,,,,,,,,2.3,2,15.5,0.1,,,,,,,
Devin Asiasi,,0,TE,2500,CIN,vs BAL,5,24.75,4.1,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,14,16,16,51,105,105,,,,,,,,,,,1.57,0.57,6.29,0.14,,,,,,,
Drew Sample,!,0,TE,2500,CIN,vs BAL,5,24.75,3.3,2.1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,8,0,14,16,16,51,105,105,,,,,,,,,,,2.52,1.9,14.9,0.03,,,,,,,
Tanner Hudson,,0,TE,2500,CIN,vs BAL,5,24.75,2.3,0,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,8,0,14,16,16,51,105,105,,,,,,,,,,,1.93,1.07,14.21,,,,,,,,
Clark Harris,,0,TE,2500,CIN,vs BAL,5,24.75,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,,0,0,14,16,16,51,105,105,,,,,,,,,,,,,,,,,,,,,
Nick Bowers,,0,TE,2500,CIN,vs BAL,5,24.75,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,,0,0,14,16,16,51,105,105,,,,,,,,,,,,,,,,,,,,,
Ko Kieft,,0,TE,2500,TB,vs DAL,8,21.75,2,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,23,0,14,16,16,51,105,105,,,,,,,,,,,1.25,0.88,10,0.13,,,,,,,
Kyle Rudolph,!,0,TE,2500,TB,vs DAL,8,21.75,6.5,4,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,20,0,14,16,16,51,105,105,,,,,,,,,,,4.48,3.12,31.03,0.3,,,,,,,
Cameron Brate,,0,TE,2500,TB,vs DAL,8,21.75,5.3,4.8,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,23,0,14,16,16,51,105,105,,,,,,,,,,,3.85,2.5,26.32,0.3,,,,,,,
David Wells,,0,TE,2500,TB,vs DAL,8,21.75,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,,0,0,14,16,16,51,105,105,,,,,,,,,,,,,,,,,,,,,
Tyler Mabry,,0,TE,2500,SEA,@ SF,13,16.50,0,0,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,14,16,16,51,105,105,,,,,,,,,,,1,1,7,1,,,,,,,
Will Dissly,!,0,TE,2500,SEA,@ SF,13,16.50,5.4,3.9,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,10,0,14,16,16,51,105,105,,,,,,,,0.02,0.13,,2.62,2.13,24.04,0.23,,,,,,,
Tyler Ott,,0,TE,2500,SEA,@ SF,13,16.50,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,,0,0,14,16,16,51,105,105,,,,,,,,,,,,,,,,,,,,,
Jacob Hollister,,0,TE,2500,SEA,@ SF,13,16.50,4.7,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,2,0,14,16,16,51,105,105,,,,,,,,0.02,0.11,,3.3,2.07,17.5,0.16,,,,,,,
Tre' McKitty,,0,TE,2500,LAC,@ JAC,19,24.75,1.9,1.8,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,5,0,14,16,16,51,105,105,,,,,,,,,,,1.86,1.14,8.36,,,,,,,,
Stone Smartt,,0,TE,2500,LAC,@ JAC,19,24.75,0.3,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,84,0,14,16,16,51,105,105,,,,,,,,,,,1.67,1.33,5.67,,,,,,,,
Richard Rodgers,!,0,TE,2500,LAC,@ JAC,19,24.75,6.2,3.1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,5,0,14,16,16,51,105,105,,,,,,,,0.02,0.2,,3.61,2.43,24.96,0.25,,,,,,,
Hunter Kampmoyer,,0,TE,2500,LAC,@ JAC,19,24.75,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,,0,0,14,16,16,51,105,105,,,,,,,,,,,,,,,,,,,,,
Durham Smythe,,0,TE,2500,MIA,@ BUF,2,15.25,2.9,4.7,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,19,0,14,16,16,51,105,105,,,,,,,,0.07,0.07,0.02,2.13,1.63,14.98,0.06,,,,,,,
Hunter Long,,0,TE,2500,MIA,@ BUF,2,15.25,0.8,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,14,16,16,51,105,105,,,,,,,,,,,1,0.33,2.67,,,,,,,,
Tanner Conner,,0,TE,2500,MIA,@ BUF,2,15.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,14,16,16,51,105,105,,,,,,,,,,,1.5,,,,,,,,,,
Cethan Carter,!,0,TE,2500,MIA,@ BUF,2,15.25,2.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,14,16,16,51,105,105,,,,,,,,,,,1.18,0.82,7.45,0.09,,,,,,,
Adam Shaheen,!,0,TE,2500,MIA,@ BUF,2,15.25,4,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,14,16,16,51,105,105,,,,,,,,,,,2.03,1.43,14.11,0.19,,,,,,,
Nick Vannett,,0,TE,2500,NYG,@ MIN,22,22.75,3.3,4,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,3,0,14,16,16,51,105,105,,,,,,,,,,,2.08,1.44,13.95,0.1,,,,,,,
Lawrence Cager,,0,TE,2500,NYG,@ MIN,22,22.75,4.9,0,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,14,16,16,51,105,105,,,,,0.13,,,,,,3.13,1.88,19.13,0.13,,,,,,,
Dre Miller,,0,TE,2500,NYG,@ MIN,22,22.75,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,,0,0,14,16,16,51,105,105,,,,,,,,,,,,,,,,,,,,,
Chris Myarick,,0,TE,2500,NYG,@ MIN,22,22.75,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,,0,0,14,16,16,51,105,105,,,,,,,,,,,,,,,,,,,,,
Josh Oliver,,0,TE,2500,BAL,@ CIN,9,15.75,3.7,1.4,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,14,16,16,51,105,105,,,,,,,,,,,1.8,1.04,9.2,0.08,,,,,,,
Charlie Kolar,,0,TE,2500,BAL,@ CIN,9,15.75,0,0,8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,14,16,16,51,105,105,,,,,,,,,,,6,4,49,,,,,,,,
Jake Ferguson,,0,TE,2500,DAL,@ TB,30,23.75,3.8,0,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,14,0,14,16,16,51,105,105,,,,,,,,,,,2,1.73,15.82,0.18,,,,,,,
Peyton Hendershot,,0,TE,2500,DAL,@ TB,30,23.75,3.4,0,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,23,0,14,16,16,51,105,105,,,,,,,,0.11,0.22,0.11,1.78,1.22,11.44,0.22,,,,,,,
Sean McKeon,,0,TE,2500,DAL,@ TB,30,23.75,2.6,2.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,14,16,16,51,105,105,,,,,,,,,,,1.5,1,6.33,0.17,,,,,,,
Ian Bunting,,0,TE,2500,DAL,@ TB,30,23.75,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,,0,0,14,16,16,51,105,105,,,,,,,,,,,,,,,,,,,,,
