,,,,,,,Rushing,,,,,,,,,
Rk,Player,Age,Team,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Awards
213,Kenny Pickett,26,PHI,QB,3,0,3,-1,1,-2,-0.7,1,0.3,0,,
214,Jalen Reagor,25,LAC,WR,8,2,3,-3,0,-4,-1.3,1,0.3,0,,
215,Wan'Dale Robinson,23,NYG,WR,13,5,3,18,1,3,1,15,5,0,,
216,Jaxon Smith-Njigba,22,SEA,WR,13,12,3,17,1,12,4,5,1.7,0,,
217,Dorian Thompson-Robinson,25,CLE,QB,3,0,3,44,2,36,12,8,2.7,0,,
218,Jaylen Waddle,26,MIA,WR,13,13,3,6,0,2,0.7,4,1.3,0,,
219,Mark Andrews,29,BAL,TE,13,9,2,4,2,1,0.5,3,1.5,0,,
220,Tutu Atwell,25,LAR,WR,13,4,2,7,0,6,3,1,0.5,0,,
221,Tim Boyle,30,MIA,QB,2,0,2,10,1,9,4.5,1,0.5,0,,
222,Dyami Brown,25,WAS,WR,13,1,2,18,1,13,6.5,5,2.5,0,,
223,Treylon Burks,24,TEN,WR,5,2,2,1,0,-5,-2.5,6,3,1,2,
224,Ja'Marr Chase,24,CIN,WR,13,13,2,25,2,23,11.5,2,1,0,,
225,Brandin Cooks,31,DAL,WR,6,5,2,2,0,-3,-1.5,5,2.5,0,,
226,Malachi Corley,22,NYJ,WR,8,1,2,26,1,26,13,0,0,0,,
227,Greg Dortch,26,ARI,WR,13,2,2,10,0,7,3.5,3,1.5,0,,
228,Demario Douglas,24,NWE,WR,13,5,2,10,0,6,3,4,2,0,,
229,Troy Franklin,21,DEN,WR,12,5,2,8,0,6,3,2,1,0,,
230,C.J. Ham,31,MIN,FB,13,3,2,10,1,8,4,2,1,0,,
231,Diontae Johnson,28,CAR,WR,7,7,2,6,1,6,3,0,0,0,,
232,Velus Jones Jr.,27,CHI,WR,1,0,2,11,1,6,3,5,2.5,0,,
233,Tucker Kraft,24,GNB,TE,13,13,2,4,2,1,0.5,3,1.5,0,,
